Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#629    Date: 20/11/17    Time: 12:09:26
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9970E-02  +8.9264E+01   
+5.5579E-01  +1.9903E-02  +8.8986E+01   
+7.7227E-01  +1.9980E-02  +8.8605E+01   
+1.0731E+00  +1.9933E-02  +8.8093E+01   
+1.4910E+00  +1.9859E-02  +8.7400E+01   
+2.0718E+00  +1.9860E-02  +8.6408E+01   
+2.8787E+00  +1.9830E-02  +8.5038E+01   
+4.0000E+00  +1.9779E-02  +8.3131E+01   
+5.5580E+00  +1.9620E-02  +8.0534E+01   
+7.7228E+00  +1.9382E-02  +7.6941E+01   
+1.0731E+01  +1.8940E-02  +7.2178E+01   
+1.4910E+01  +1.8155E-02  +6.5893E+01   
+2.0718E+01  +1.6913E-02  +5.8161E+01   
+2.8787E+01  +1.5069E-02  +4.9232E+01   
+4.0000E+01  +1.2762E-02  +3.9785E+01   
+5.5580E+01  +1.0157E-02  +3.1192E+01   
+7.7228E+01  +7.8950E-03  +2.3184E+01   
+1.0731E+02  +5.9270E-03  +1.6937E+01   
+1.4910E+02  +4.3556E-03  +1.1915E+01   
+2.0718E+02  +3.1793E-03  +8.3310E+00   
+2.8787E+02  +2.3027E-03  +5.3668E+00   
+4.0000E+02  +1.6617E-03  +2.9553E+00   
+5.5580E+02  +1.1976E-03  +9.0181E-01   
+7.7228E+02  +8.6179E-04  -1.0383E+00   
+1.0731E+03  +6.1970E-04  -3.0640E+00   
+1.4910E+03  +4.4545E-04  -5.4191E+00   
+2.0718E+03  +3.1548E-04  -8.5069E+00   
+2.8787E+03  +2.2923E-04  -1.2142E+01   
+4.0000E+03  +1.6374E-04  -1.7270E+01   
+5.5580E+03  +1.1645E-04  -2.4405E+01   
+7.7228E+03  +8.0584E-05  -3.4471E+01   
+1.0731E+04  +5.3720E-05  -4.7166E+01   
+1.4910E+04  +3.3639E-05  -6.2846E+01   
+2.0718E+04  +1.9415E-05  -7.7381E+01   
+2.8787E+04  +1.1759E-05  -9.2125E+01   
+4.0000E+04  +7.3293E-06  -1.1735E+02   
+5.5580E+04  +3.8469E-06  -1.5342E+02   
+7.7228E+04  +1.6613E-06  -1.8457E+02   
+1.0000E+05  +1.0668E-06  -2.0171E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0556E-02  +1.4840E+02   
+5.5579E-01  +1.3144E-02  +1.3950E+02   
+7.7227E-01  +1.5584E-02  +1.2989E+02   
+1.0731E+00  +1.7553E-02  +1.2050E+02   
+1.4910E+00  +1.8927E-02  +1.1199E+02   
+2.0718E+00  +1.9775E-02  +1.0462E+02   
+2.8787E+00  +2.0248E-02  +9.8290E+01   
+4.0000E+00  +2.0456E-02  +9.2639E+01   
+5.5580E+00  +2.0455E-02  +8.7195E+01   
+7.7228E+00  +2.0274E-02  +8.1477E+01   
+1.0731E+01  +1.9799E-02  +7.5060E+01   
+1.4910E+01  +1.8941E-02  +6.7608E+01   
+2.0718E+01  +1.7554E-02  +5.8853E+01   
+2.8787E+01  +1.5536E-02  +4.9158E+01   
+4.0000E+01  +1.3053E-02  +3.9364E+01   
+5.5580E+01  +1.0527E-02  +3.0607E+01   
+7.7228E+01  +8.0076E-03  +2.2621E+01   
+1.0731E+02  +5.9633E-03  +1.6450E+01   
+1.4910E+02  +4.3666E-03  +1.1772E+01   
+2.0718E+02  +3.1844E-03  +8.0014E+00   
+2.8787E+02  +2.3048E-03  +5.1685E+00   
+4.0000E+02  +1.6625E-03  +2.8805E+00   
+5.5580E+02  +1.1987E-03  +8.7246E-01   
+7.7228E+02  +8.6298E-04  -1.0132E+00   
+1.0731E+03  +6.2085E-04  -3.0128E+00   
+1.4910E+03  +4.4642E-04  -5.3363E+00   
+2.0718E+03  +3.2061E-04  -8.2337E+00   
+2.8787E+03  +2.2984E-04  -1.2033E+01   
+4.0000E+03  +1.6418E-04  -1.7135E+01   
+5.5580E+03  +1.1659E-04  -2.4184E+01   
+7.7228E+03  +8.0919E-05  -3.4012E+01   
+1.0731E+04  +5.4130E-05  -4.6671E+01   
+1.4910E+04  +3.4021E-05  -6.2391E+01   
+2.0718E+04  +1.9705E-05  -7.7074E+01   
+2.8787E+04  +1.1937E-05  -9.1915E+01   
+4.0000E+04  +7.4501E-06  -1.1723E+02   
+5.5580E+04  +3.9112E-06  -1.5352E+02   
+7.7228E+04  +1.6854E-06  -1.8482E+02   
+1.0000E+05  +1.0805E-06  -2.0206E+02   

