Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 079    Date: 18/07/11    Time: 09:26:46


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0044E-02  +8.9252E+01   
+5.5580E-01  +2.0036E-02  +8.8965E+01    
+7.7230E-01  +1.9987E-02  +8.8626E+01    
+1.0731E+00  +1.9996E-02  +8.8117E+01    
+1.4910E+00  +1.9909E-02  +8.7353E+01    
+2.0718E+00  +1.9918E-02  +8.6406E+01    
+2.8787E+00  +1.9810E-02  +8.5035E+01    
+4.0000E+00  +1.9868E-02  +8.3098E+01    
+5.5580E+00  +1.9708E-02  +8.0488E+01    
+7.7230E+00  +1.9404E-02  +7.6961E+01    
+1.0731E+01  +1.9029E-02  +7.2060E+01    
+1.4910E+01  +1.8265E-02  +6.5771E+01    
+2.0718E+01  +1.6856E-02  +5.7968E+01    
+2.8788E+01  +1.5108E-02  +4.9013E+01    
+4.0000E+01  +1.2773E-02  +3.9751E+01    
+5.5580E+01  +1.0165E-02  +3.0410E+01    
+7.7230E+01  +7.9159E-03  +2.3143E+01    
+1.0731E+02  +5.9314E-03  +1.6920E+01    
+1.4910E+02  +4.3543E-03  +1.2090E+01    
+2.0717E+02  +3.1916E-03  +8.1747E+00    
+2.8788E+02  +2.2946E-03  +5.4207E+00    
+4.0000E+02  +1.6550E-03  +3.1458E+00    
+5.5580E+02  +1.1926E-03  +1.2506E+00    
+7.7230E+02  +8.5833E-04  -5.6902E-01    
+1.0731E+03  +6.1814E-04  -2.3179E+00    
+1.4911E+03  +4.4485E-04  -4.3809E+00    
+2.0718E+03  +3.1999E-04  -6.8034E+00    
+2.8788E+03  +2.3027E-04  -1.0141E+01    
+4.0000E+03  +1.6588E-04  -1.4494E+01    
+5.5580E+03  +1.1993E-04  -2.0690E+01    
+7.7230E+03  +8.5879E-05  -2.9928E+01    
+1.0731E+04  +6.0334E-05  -4.2314E+01    
+1.4910E+04  +4.1344E-05  -5.9758E+01    
+2.0718E+04  +2.6170E-05  -8.1938E+01    
+2.8788E+04  +1.5127E-05  -1.0951E+02    
+4.0000E+04  +7.8895E-06  -1.4109E+02    
+5.5581E+04  +3.6062E-06  -1.7879E+02    
+6.0000E+04  +2.8926E-06  +1.7245E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0304E-02  +1.4897E+02   
+5.5580E-01  +1.2892E-02  +1.4019E+02    
+7.7230E-01  +1.5356E-02  +1.3070E+02    
+1.0731E+00  +1.7385E-02  +1.2137E+02    
+1.4910E+00  +1.8855E-02  +1.1276E+02    
+2.0718E+00  +1.9757E-02  +1.0526E+02    
+2.8787E+00  +2.0282E-02  +9.8795E+01    
+4.0000E+00  +2.0524E-02  +9.2996E+01    
+5.5580E+00  +2.0534E-02  +8.7437E+01    
+7.7230E+00  +2.0357E-02  +8.1605E+01    
+1.0731E+01  +1.9912E-02  +7.5048E+01    
+1.4910E+01  +1.9036E-02  +6.7501E+01    
+2.0718E+01  +1.7665E-02  +5.8410E+01    
+2.8788E+01  +1.5564E-02  +4.8996E+01    
+4.0000E+01  +1.3056E-02  +3.9173E+01    
+5.5580E+01  +1.0296E-02  +2.9613E+01    
+7.7230E+01  +7.9692E-03  +2.2476E+01    
+1.0731E+02  +5.9513E-03  +1.6385E+01    
+1.4910E+02  +4.3512E-03  +1.1622E+01    
+2.0717E+02  +3.1700E-03  +8.0091E+00    
+2.8788E+02  +2.2952E-03  +5.2729E+00    
+4.0000E+02  +1.6571E-03  +3.0792E+00    
+5.5580E+02  +1.1936E-03  +1.1784E+00    
+7.7230E+02  +8.6032E-04  -6.1090E-01    
+1.0731E+03  +6.1907E-04  -2.4456E+00    
+1.4911E+03  +4.4561E-04  -4.5521E+00    
+2.0718E+03  +3.2045E-04  -7.1435E+00    
+2.8788E+03  +2.3059E-04  -1.0479E+01    
+4.0000E+03  +1.6607E-04  -1.4965E+01    
+5.5580E+03  +1.2007E-04  -2.1349E+01    
+7.7230E+03  +8.6169E-05  -3.0593E+01    
+1.0731E+04  +6.0025E-05  -4.3662E+01    
+1.4910E+04  +4.0919E-05  -6.1375E+01    
+2.0718E+04  +2.5492E-05  -8.3974E+01    
+2.8788E+04  +1.4517E-05  -1.1131E+02    
+4.0000E+04  +7.4778E-06  -1.4232E+02    
+5.5581E+04  +3.4016E-06  -1.7911E+02    
+6.0000E+04  +2.2622E-06  -2.8074E+01    
